User1	Enjoying a beautiful day at the park!	Positive	15-01-2023 12:30	Twitter	#Nature #Park	15	30	USA	2023	1	15	12
CommuterX	Traffic was terrible this morning.	Negative	15-01-2023 08:45	Twitter	#Traffic #Morning	5	10	Canada	2023	1	15	8
FitnessFan	Just finished an amazing workout! 💪	Positive	15-01-2023 15:45	Instagram	#Fitness #Workout	20	40	USA	2023	1	15	15
AdventureX	Excited about the upcoming weekend getaway!	Positive	15-01-2023 18:20	Facebook	#Travel #Adventure	8	15	UK	2023	1	15	18
ChefCook	Trying out a new recipe for dinner tonight.	Neutral	15-01-2023 19:55	Instagram	#Cooking #Food	12	25	Australia	2023	1	15	19
GratitudeNow	Feeling grateful for the little things in life.	Positive	16-01-2023 09:10	Twitter	#Gratitude #PositiveVibes	25	50	India	2023	1	16	9
RainyDays	Rainy days call for cozy blankets and hot cocoa.	Positive	16-01-2023 14:45	Facebook	#RainyDays #Cozy	10	20	Canada	2023	1	16	14
MovieBuff	The new movie release is a must-watch!	Positive	16-01-2023 19:30	Instagram	#MovieNight #MustWatch	15	30	USA	2023	1	16	19
DebateTalk	Political discussions heating up on the timeline.	Negative	17-01-2023 08:00	Twitter	#Politics #Debate	30	60	USA	2023	1	17	8
BeachLover	Missing summer vibes and beach days.	Neutral	17-01-2023 12:20	Facebook	#Summer #BeachDays	18	35	Australia	2023	1	17	12
